Time and Date, temperature (ºC), temperature (ºF), humidity (%), pressure (hPa)
14:25:38 25/12/2024, 22.69, 72.85, 68.74, 1024.43
14:25:39 25/12/2024, 22.72, 72.90, 63.69, 1024.45
14:25:40 25/12/2024, 22.69, 72.85, 59.95, 1024.35
14:25:41 25/12/2024, 22.68, 72.83, 57.70, 1024.41
14:25:42 25/12/2024, 22.67, 72.81, 56.26, 1024.42
14:25:43 25/12/2024, 22.65, 72.78, 55.29, 1024.39
14:25:44 25/12/2024, 22.65, 72.78, 54.50, 1024.50
14:25:45 25/12/2024, 22.64, 72.75, 53.88, 1024.47
14:25:46 25/12/2024, 22.62, 72.71, 53.31, 1024.49
14:25:47 25/12/2024, 22.61, 72.70, 53.34, 1024.43
14:25:48 25/12/2024, 22.63, 72.73, 53.74, 1024.48
14:25:49 25/12/2024, 22.64, 72.75, 53.97, 1024.47
14:25:50 25/12/2024, 22.64, 72.75, 53.52, 1024.50
14:25:51 25/12/2024, 22.64, 72.75, 52.84, 1024.50
14:25:52 25/12/2024, 22.63, 72.73, 52.51, 1024.43
14:25:53 25/12/2024, 22.62, 72.71, 52.32, 1024.44
14:25:54 25/12/2024, 22.63, 72.74, 52.07, 1024.46
14:25:55 25/12/2024, 22.63, 72.74, 51.82, 1024.44
14:25:56 25/12/2024, 22.62, 72.71, 51.60, 1024.41
14:25:57 25/12/2024, 22.62, 72.71, 51.49, 1024.38
14:25:58 25/12/2024, 22.64, 72.75, 51.44, 1024.47
14:25:59 25/12/2024, 22.64, 72.75, 51.34, 1024.50
14:26:00 25/12/2024, 22.63, 72.74, 51.28, 1024.46
14:26:01 25/12/2024, 22.63, 72.74, 51.27, 1024.49
14:26:02 25/12/2024, 22.63, 72.74, 51.24, 1024.38
14:26:03 25/12/2024, 22.64, 72.75, 51.20, 1024.42
14:26:04 25/12/2024, 22.64, 72.76, 51.12, 1024.43
14:26:05 25/12/2024, 22.64, 72.76, 51.03, 1024.37
14:26:06 25/12/2024, 22.65, 72.77, 50.92, 1024.38
14:26:07 25/12/2024, 22.66, 72.79, 50.80, 1024.34
14:26:08 25/12/2024, 22.65, 72.78, 50.73, 1024.44
14:26:09 25/12/2024, 22.65, 72.77, 50.64, 1024.43
14:26:10 25/12/2024, 22.65, 72.78, 50.54, 1024.44
14:26:11 25/12/2024, 22.65, 72.78, 50.44, 1024.50
14:26:12 25/12/2024, 22.66, 72.79, 50.38, 1024.51
14:26:13 25/12/2024, 22.66, 72.79, 50.32, 1024.42
14:26:14 25/12/2024, 22.66, 72.79, 50.27, 1024.46
14:26:15 25/12/2024, 22.66, 72.79, 50.21, 1024.45
14:26:16 25/12/2024, 22.67, 72.81, 50.20, 1024.45
14:26:17 25/12/2024, 22.66, 72.79, 50.16, 1024.46
14:26:18 25/12/2024, 22.67, 72.81, 50.11, 1024.45
14:26:19 25/12/2024, 22.66, 72.79, 50.09, 1024.38
14:26:20 25/12/2024, 22.67, 72.81, 50.05, 1024.39
14:26:21 25/12/2024, 22.68, 72.82, 50.02, 1024.40
14:26:23 25/12/2024, 22.67, 72.81, 49.96, 1024.42
14:26:24 25/12/2024, 22.68, 72.83, 49.92, 1024.44
14:26:25 25/12/2024, 22.67, 72.81, 49.87, 1024.39
14:26:26 25/12/2024, 22.68, 72.83, 49.85, 1024.44
14:26:27 25/12/2024, 22.68, 72.82, 49.82, 1024.43
